id,order,period,period_en,organization,organization_en
hitachi,1,2016 -- 現在,2016.9 -- Present,日立製作所 中央研究所 - 研究員,"Hitachi, Ltd. Central Research Laboratory - Researcher"
toshiba,2,2014 -- 2016,2014.4 -- 2016.8,東芝 研究開発センター - 研究員,Toshiba Corporation R&D Center - Researcher
